artist_name,artist_uri,album_name,album_uri,track_name,track_id,popularity,total_tracks,release_date,release_date_precision
Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,Nostalgia,spotify:album:3uZiPlIMf0TYM7LzDUnrNS,She Will Be Loved,6itDdISqowwgRf1t7YVacp,0,38,2020-03-27,day
Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,BestWORK,spotify:album:3NAFzZ2TD9j2dJt1UzxEKG,What Lovers Do,6mWvr2tC441ORY4PqwOptn,1,13,2020-03-25,day
Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,Bangers!,spotify:album:06Vw15GpttVdWnA4bKWQjf,Moves Like Jagger - Studio Recording From The Voice Performance,7jciElaTGsQCdY2IG0pc97,0,27,2020-03-27,day
Bazzi,spotify:artist:4GvEc3ANtPPjt1ZJllr5Zl,Young & Alive,spotify:album:4UoEi8sYhfBkFEkvZDfb74,Young & Alive,5RsKelNxucrDxgMbZ3vd3W,81,1,2020-03-05,day
5 Seconds of Summer,spotify:artist:5Rl15oVamLq7FbSb0NNBNy,Wildflower,spotify:album:5O0JSBmOjYljULpfYq15st,Wildflower,5ZBlQeRIVG4vmfKnRDhKZj,63,1,2020-03-25,day
Young T & Bugsey,spotify:artist:6M6XXCcO5gI68XpIlrUL3Z,Bully Beef (feat. Fredo),spotify:album:1Etzk5DsbOEAJrt0GHOCs5,Bully Beef (feat. Fredo),1MM7XFWwDxUIW7sn1toUaa,68,1,2020-02-20,day
NLE Choppa,spotify:artist:0ErzCpIMyLcjPiwT4elrtZ,Walk Em Down (feat. Roddy Ricch),spotify:album:3EYg0XBIcyz3OvhIy7gsZQ,Walk Em Down (feat. Roddy Ricch),4cSSL3YafYjM3yjgFO1vJg,78,1,2020-03-19,day
Lauv,spotify:artist:5JZ7CnR6gTvEMKX4g70Amv,~how i'm feeling~,spotify:album:6EgJXcGqaUvgZIF9bqPXfP,i'm so tired...,4vjpLMyL3ZO6aphdYr8XYw,79,21,2020-03-06,day
BTS,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,MAP OF THE SOUL : 7,spotify:album:6mJZTV8lCqnwftYZa94bXS,ON (Feat. Sia),3IB5qOeMayvpOdHxYCL5tZ,84,20,2020-02-21,day
Celeste,spotify:artist:49HlOY4gkHqsYG9GCuhkcc,Stop This Flame,spotify:album:2dgxfbASZ7HDFEGFRNwbTr,Stop This Flame,1bObrsJGW0UCIGZkvnDqbe,72,1,2020-01-09,day
Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,Music To Be Murdered By,spotify:album:4otkd9As6YaxxEkIjXPiZ6,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",0GQ5bFTVFFKpwNPc7KwQnB,79,20,2020-01-17,day
G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z,Still Be Friends (feat. Tory Lanez & Tyga),spotify:album:0KHIH7UC8WATEByfXGfYaY,Still Be Friends (feat. Tory Lanez & Tyga),0JjM9bKm4wrwohMslcm892,84,1,2020-02-07,day
A Boogie Wit da Hoodie,spotify:artist:31W5EY0aAly4Qieq6OFu6I,Artist 2.0,spotify:album:0cZAE6guibfcYmTZD7hiae,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",733c1CWmIGymoQXdp7Us88,84,20,2020-02-14,day
